filename,matlab_com2bb,matlab_bbx,matlab_bby,matlab_comx,matlab_comy,matlab_comz,python_com2bb,python_bbx,python_bby,python_comx,python_comy,python_comz
aero 1 (Left),120.4,-410.8,415.1,-290.5,-374.8,-2043.9,130.1,-424.4,400.7,-294.3,-375.0,-2050.7
aero 1 (Right),99.3,42.4,423.1,141.7,-373.8,2013.2,113.1,27.4,410.0,140.5,-367.9,2033.8
aero 2 (Left),120.0,-411.0,415.5,-291.0,-372.3,-2043.1,129.9,-424.8,401.3,-294.9,-372.5,-2050.9
aero 2 (Right),98.2,42.5,422.6,140.7,-376.5,2015.8,111.6,27.9,409.2,139.5,-370.6,2036.4
drops 1 (Left),71.9,-410.2,414.3,-338.3,-394.3,-2043.6,83.2,-423.8,400.0,-340.6,-394.6,-2053.5
drops 1 (Right),66.7,42.9,422.2,109.5,-398.1,2012.6,78.7,28.1,408.7,106.9,-390.2,2033.8
drops 2 (Left),79.8,-409.5,413.5,-329.7,-403.2,-2050.3,90.4,-422.4,398.6,-332.0,-403.2,-2058.7
drops 2 (Right),64.8,42.0,422.2,106.9,-398.7,2008.8,76.5,27.6,408.5,104.1,-390.8,2031.8
hoods 1 (Left),58.9,-409.2,412.9,-350.3,-419.6,-2038.6,70.6,-422.4,398.2,-351.7,-419.6,-2052.0
hoods 1 (Right),47.7,43.2,421.6,90.9,-428.8,2011.1,57.9,29.2,407.5,87.1,-419.2,2033.8
hoods 2 (Left),62.5,-409.9,412.0,-347.3,-421.5,-2041.3,73.4,-422.2,396.4,-348.8,-421.6,-2053.3
hoods 2 (Right),52.1,43.6,420.8,95.7,-426.4,2014.3,62.8,29.1,407.2,91.9,-417.0,2036.7
