rider,poseFile,com2bbMean
Jason,aero (Left).pose,-103.103769738031
Jason,aero 1 (Left).pose,-39.5419489970785
Jason,aero 2 (Left).pose,-103.114708362225
Jason,aero 2 (Right).pose,-85.1523183564068
Jason,drops (Left).pose,-55.1265322237813
Jason,drops (Right).pose,-54.9425070058484
Jason,drops 2 (Left) rotated.pose,0.241010911225918
Jason,drops 2 (Left).pose,-0.241010911225918
Jason,drops 3 (Left).pose,-62.4292733080226
Jason,hoods (Left).pose,-39.7488131270201
Jason,hoods 1 (Right).pose,-34.6121323126927
Jason,hoods 2 (Left).pose,-42.8040127359752
Jason,hoods 2 (Right).pose,-38.9012758998017
