rider,poseFile,com2bbMean
Todd,Aero 1 (Right).pose,110.754637472405
Todd,Aero 1(Left).pose,110.798488652638
Todd,Aero 2 (Left).pose,111.737599450701
Todd,Aero 2 (Right).pose,112.480093951195
Todd,Drops (Right).pose,81.1181699987305
Todd,Drops 2 (Right).pose,81.5895016188664
Todd,Hoods (Right).pose,67.4037144107963
Todd,Hoods 2 (Right).pose,69.1898338782814
Todd,drops (Left).pose,75.0067810210193
Todd,drops 2 (Left).pose,79.1553382208088
Todd,hoods (Left).pose,62.2264802448602
Todd,hoods 2 (Left).pose,62.4409629870048
