rider,poseFile,com2bbMean
Todd,Aero 1 (Right).pose,-94.1024081201342
Todd,Aero 1(Left).pose,-91.5738035456358
Todd,Aero 2 (Left).pose,-91.6987583334423
Todd,Aero 2 (Right).pose,-95.0795373458534
Todd,Drops (Right).pose,-63.3289095836666
Todd,Drops 2 (Right).pose,-64.6351432182235
Todd,Hoods (Right).pose,-51.7118307787547
Todd,Hoods 2 (Right).pose,-54.2085217104178
Todd,drops (Left).pose,-55.8551868728726
Todd,drops 2 (Left).pose,-59.6822294012786
Todd,hoods (Left).pose,-43.363545761746
Todd,hoods 2 (Left).pose,-44.4058089296994
